Original,Obfuscated
-(x&y),2*(~(x&y))-(~(x|y))-2*(x^y)-(~x^y)
-(x&y),2*(~(x&y))-(~(x|y))-2*(x^y)-(x^~y)
-(x&y),2*(~(x&y))-(~(x|y))-2*(x^y)-(~(x^y))
-2*(x&y),2*(~(x&y))-2*(x^y)-(~x^y)-(x^~y)
-2*(x&y),2*(~(x&y))-2*(x^y)-(~x^y)-(~(x^y))
-2*(x&y),2*(~(x&y))-2*(x^y)-(x^~y)-(~(x^y))
x&y,-(x|y)+(~x|y)+(x|~y)-2*(~(x|y))
-(x&y),-(x|y)+(~x|y)+(x|~y)-2*(~x^y)
-(x&y),-(x|y)+(~x|y)+(x|~y)-2*(x^~y)
-(x&y),-(x|y)+(~x|y)+(x|~y)-2*(~(x^y))
x&y,2*(x|y)+(~(x|y))-2*(x^y)-(~x^y)
x&y,2*(x|y)+(~(x|y))-2*(x^y)-(x^~y)
x&y,2*(x|y)+(~(x|y))-2*(x^y)-(~(x^y))
x&y,(x|y)-(x^y)+(~x^y)-(x^~y)
x&y,(x|y)-(x^y)+(~x^y)-(~(x^y))
x&y,(x|y)-(x^y)+(x^~y)-(~(x^y))
2*(x&y),(~x|y)+(x|~y)-2*(~(x|y))-(x^y)
-3*(x&y),3*(~(x|y))-(~x^y)-(x^~y)-(~(x^y))
~x&y,-2*(x&~y)+(~(x&y))+(x|y)-(~x|y)
2*(~x&y),-(x&~y)+(~(x&y))+(x|y)-(x|~y)
2*(~x&y),-2*(x&~y)+(~(x&y))+(x|y)-(~x^y)
2*(~x&y),-2*(x&~y)+(~(x&y))+(x|y)-(x^~y)
2*(~x&y),-2*(x&~y)+(~(x&y))+(x|y)-(~(x^y))
~x&y,-(x&~y)+2*(~(x&y))-2*(~(x|y))-(x^y)
~x&y,-(x&~y)+(x|y)+(~(x|y))-(~x^y)
~x&y,-(x&~y)+(x|y)+(~(x|y))-(x^~y)
~x&y,-(x&~y)+(x|y)+(~(x|y))-(~(x^y))
~x&y,3*(x&~y)+2*(~x|y)-2*(x|~y)-(x^y)
2*(~x&y),(x&~y)+2*(~x|y)-(x|~y)-(~x^y)
2*(~x&y),(x&~y)+2*(~x|y)-(x|~y)-(x^~y)
2*(~x&y),(x&~y)+2*(~x|y)-(x|~y)-(~(x^y))
-(~x&y),2*(x&~y)+(~x|y)-2*(x^y)-(~x^y)
-(~x&y),2*(x&~y)+(~x|y)-2*(x^y)-(x^~y)
-(~x&y),2*(x&~y)+(~x|y)-2*(x^y)-(~(x^y))
-2*(~x&y),(x&~y)+(x|~y)-2*(x^y)-(~x^y)
-2*(~x&y),(x&~y)+(x|~y)-2*(x^y)-(x^~y)
-2*(~x&y),(x&~y)+(x|~y)-2*(x^y)-(~(x^y))
-(~x&y),(x&~y)-(x^y)+(~x^y)-(x^~y)
-(~x&y),(x&~y)-(x^y)+(~x^y)-(~(x^y))
-(~x&y),(x&~y)-(x^y)+(x^~y)-(~(x^y))
3*(~x&y),(~(x&y))+(x|y)+(~x|y)-2*(x|~y)
~x&y,(~(x&y))-(x|y)+(~x|y)-2*(~(x|y))
-(~x&y),(~(x&y))+(x|y)-(~x|y)-2*(x^y)
~x&y,(~(x&y))+(x|y)-(x|~y)-(x^y)
-2*(~x&y),-(~(x&y))-(x|y)+2*(x|~y)-(~x^y)
-2*(~x&y),-(~(x&y))-(x|y)+2*(x|~y)-(x^~y)
-2*(~x&y),-(~(x&y))-(x|y)+2*(x|~y)-(~(x^y))
2*(~x&y),(~(x&y))+(~x|y)-(x|~y)-(~(x|y))
-(~x&y),-(~(x&y))+(x|~y)+(~(x|y))-(~x^y)
-(~x&y),-(~(x&y))+(x|~y)+(~(x|y))-(x^~y)
-(~x&y),-(~(x&y))+(x|~y)+(~(x|y))-(~(x^y))
-(~x&y),(x|y)-(~x|y)+(~(x|y))-(x^y)
-3*(~x&y),-(~x|y)+2*(x|~y)-2*(x^y)-(~x^y)
-3*(~x&y),-(~x|y)+2*(x|~y)-2*(x^y)-(x^~y)
-3*(~x&y),-(~x|y)+2*(x|~y)-2*(x^y)-(~(x^y))
3*(~x&y),3*(~x|y)-(~x^y)-(x^~y)-(~(x^y))
-2*(~x&y),2*(x|~y)-2*(x^y)-(~x^y)-(x^~y)
-2*(~x&y),2*(x|~y)-2*(x^y)-(~x^y)-(~(x^y))
-2*(~x&y),2*(x|~y)-2*(x^y)-(x^~y)-(~(x^y))
-3*(x&~y),-(~(x&y))-(x|y)+2*(~x|y)-(x|~y)
x&~y,(~(x&y))+(x|y)-(~x|y)-(x^y)
-2*(x&~y),-(~(x&y))-(x|y)+2*(~x|y)-(~x^y)
-2*(x&~y),-(~(x&y))-(x|y)+2*(~x|y)-(x^~y)
-2*(x&~y),-(~(x&y))-(x|y)+2*(~x|y)-(~(x^y))
x&~y,(~(x&y))-(x|y)+(x|~y)-2*(~(x|y))
-(x&~y),(~(x&y))+(x|y)-(x|~y)-2*(x^y)
2*(x&~y),(~(x&y))-(~x|y)+(x|~y)-(~(x|y))
-(x&~y),-(~(x&y))+(~x|y)+(~(x|y))-(~x^y)
-(x&~y),-(~(x&y))+(~x|y)+(~(x|y))-(x^~y)
-(x&~y),-(~(x&y))+(~x|y)+(~(x|y))-(~(x^y))
-(x&~y),(x|y)-(x|~y)+(~(x|y))-(x^y)
-3*(x&~y),2*(~x|y)-(x|~y)-2*(x^y)-(~x^y)
-3*(x&~y),2*(~x|y)-(x|~y)-2*(x^y)-(x^~y)
-3*(x&~y),2*(~x|y)-(x|~y)-2*(x^y)-(~(x^y))
-2*(x&~y),2*(~x|y)-2*(x^y)-(~x^y)-(x^~y)
-2*(x&~y),2*(~x|y)-2*(x^y)-(~x^y)-(~(x^y))
-2*(x&~y),2*(~x|y)-2*(x^y)-(x^~y)-(~(x^y))
3*(x&~y),3*(x|~y)-(~x^y)-(x^~y)-(~(x^y))
-(~(x&y)),-2*(x|y)+(~x|y)+(x|~y)-3*(~(x|y))
-2*(~(x&y)),2*(x|y)-(~x|y)-(x|~y)-3*(x^y)
~(x&y),-(x|y)+2*(~x|y)+2*(x|~y)-3*(~x^y)
~(x&y),-(x|y)+2*(~x|y)+2*(x|~y)-3*(x^~y)
~(x&y),-(x|y)+2*(~x|y)+2*(x|~y)-3*(~(x^y))
-2*(~(x&y)),(x|y)-(~(x|y))-3*(x^y)-(~x^y)
-2*(~(x&y)),(x|y)-(~(x|y))-3*(x^y)-(x^~y)
-2*(~(x&y)),(x|y)-(~(x|y))-3*(x^y)-(~(x^y))
2*(~(x&y)),2*(x|y)+4*(~(x|y))-(~x^y)-(x^~y)
2*(~(x&y)),2*(x|y)+4*(~(x|y))-(~x^y)-(~(x^y))
2*(~(x&y)),2*(x|y)+4*(~(x|y))-(x^~y)-(~(x^y))
-2*(~(x&y)),2*(x|y)-4*(x^y)-(~x^y)-(x^~y)
-2*(~(x&y)),2*(x|y)-4*(x^y)-(~x^y)-(~(x^y))
-2*(~(x&y)),2*(x|y)-4*(x^y)-(x^~y)-(~(x^y))
~(x&y),(~x|y)+(x|~y)+(~(x|y))-2*(~x^y)
~(x&y),(~x|y)+(x|~y)+(~(x|y))-2*(x^~y)
~(x&y),(~x|y)+(x|~y)+(~(x|y))-2*(~(x^y))
-(~(x&y)),-(~(x|y))-(x^y)+(~x^y)-(x^~y)
-(~(x&y)),-(~(x|y))-(x^y)+(~x^y)-(~(x^y))
-(~(x&y)),-(~(x|y))-(x^y)+(x^~y)-(~(x^y))
-2*(x|y),-(~x|y)-(x|~y)+2*(~(x|y))-(x^y)
x|y,(~x|y)+(x|~y)-(~(x|y))-(~x^y)
x|y,(~x|y)+(x|~y)-(~(x|y))-(x^~y)
x|y,(~x|y)+(x|~y)-(~(x|y))-(~(x^y))
-2*(x|y),2*(~(x|y))-2*(x^y)-(~x^y)-(x^~y)
-2*(x|y),2*(~(x|y))-2*(x^y)-(~x^y)-(~(x^y))
-2*(x|y),2*(~(x|y))-2*(x^y)-(x^~y)-(~(x^y))
-(~x|y),(x|~y)-(x^y)-(~x^y)-(x^~y)
-(~x|y),(x|~y)-(x^y)-(~x^y)-(~(x^y))
-(~x|y),(x|~y)-(x^y)-(x^~y)-(~(x^y))
